SN,BIN,Shape,FAI156,FAI156-P1,FAI156-P2,FAI156-P3,FAI156-P4,FAI156-P5,FAI156-P6,FAI156-P7,FAI156-P8,FAI156-P9,FAI156-P10,FAI156-P11,FAI156-P12,FAI156-P13,FAI156-P14,FAI156-P15,FAI156-P16,FAI156-P17,FAI156-P18,FAI156-P19,FAI156-P20
1,,,0.268,-0.05,-0.045,-0.036,-0.005,-0.04,-0.088,-0.03,0.015,0.061,0.18,0.143,0.127,0.04,-0.004,-0.061,-0.065,-0.035,-0.032,-0.034,-0.04
2,,,0.242,-0.029,-0.028,-0.016,0.013,-0.036,-0.1,-0.044,-0.006,0.021,0.142,0.123,0.129,0.043,0.01,-0.041,-0.05,-0.017,-0.02,-0.037,-0.057
3,,,0.268,-0.044,-0.038,-0.031,0.01,-0.038,-0.107,-0.035,0.008,0.04,0.161,0.141,0.145,0.041,0,-0.05,-0.055,-0.025,-0.022,-0.039,-0.062
4,,,0.233,-0.03,-0.026,-0.019,0.009,-0.034,-0.088,-0.035,0.003,0.044,0.145,0.119,0.109,0.028,-0.014,-0.058,-0.066,-0.033,-0.026,-0.018,-0.01
5,,,0.25,-0.028,-0.029,-0.022,0.002,-0.038,-0.09,-0.039,0.003,0.053,0.16,0.125,0.109,0.033,-0.008,-0.058,-0.07,-0.041,-0.04,-0.026,0.005
6,,,0.369,-0.05,-0.051,-0.031,0.019,-0.053,-0.149,-0.056,-0.01,0.01,0.184,0.187,0.22,0.085,0.044,-0.029,-0.045,-0.034,-0.047,-0.084,-0.111
7,,,0.221,-0.032,-0.028,-0.018,0.009,-0.03,-0.08,-0.034,0.003,0.036,0.141,0.114,0.1,0.027,-0.009,-0.05,-0.057,-0.026,-0.022,-0.019,-0.023
8,,,0.448,-0.042,-0.034,-0.016,0.034,-0.043,-0.157,-0.087,-0.051,-0.059,0.126,0.163,0.244,0.128,0.115,0.064,0.023,-0.007,-0.06,-0.136,-0.204
9,,,0.274,-0.048,-0.042,-0.027,0.017,-0.04,-0.114,-0.039,0.006,0.037,0.16,0.146,0.153,0.046,0.007,-0.044,-0.052,-0.026,-0.025,-0.045,-0.07
10,,,0.48,0.056,0.063,0.034,-0.033,0.06,0.189,0.025,-0.013,0.031,-0.145,-0.199,-0.291,-0.072,-0.08,-0.009,-0.005,0.064,0.091,0.133,0.103
11,,,0.313,-0.043,-0.037,-0.032,0.006,-0.05,-0.119,-0.044,-0.01,-0.016,0.148,0.159,0.194,0.101,0.066,0.001,-0.037,-0.043,-0.063,-0.082,-0.1
12,,,0.325,-0.058,-0.05,-0.032,0.017,-0.047,-0.133,-0.05,-0.003,0.026,0.192,0.176,0.187,0.07,0.025,-0.035,-0.047,-0.03,-0.04,-0.071,-0.098
13,,,0.406,-0.009,-0.012,-0.015,0.011,-0.065,-0.178,-0.116,-0.072,-0.012,0.181,0.192,0.228,0.136,0.098,0.024,-0.026,-0.048,-0.077,-0.107,-0.134
14,,,0.255,-0.045,-0.04,-0.032,-0.005,-0.038,-0.084,-0.032,0.013,0.066,0.171,0.134,0.11,0.036,-0.011,-0.06,-0.062,-0.031,-0.028,-0.028,-0.034
15,,,0.22,-0.019,-0.019,-0.02,0.001,-0.039,-0.089,-0.039,-0.013,-0.008,0.11,0.113,0.131,0.077,0.04,0,-0.032,-0.039,-0.046,-0.052,-0.059
16,,,0.286,-0.042,-0.037,-0.031,-0.003,-0.043,-0.104,-0.044,0.006,0.052,0.182,0.149,0.143,0.051,0.005,-0.05,-0.069,-0.048,-0.051,-0.046,-0.021
17,,,0.333,-0.042,-0.035,-0.019,0.022,-0.03,-0.149,-0.081,-0.006,0.051,0.184,0.159,0.163,0.052,0.01,-0.048,-0.056,-0.021,-0.027,-0.048,-0.079
18,,,0.303,-0.043,-0.039,-0.027,0.014,-0.046,-0.125,-0.048,-0.006,0.03,0.178,0.158,0.172,0.058,0.02,-0.045,-0.052,-0.036,-0.041,-0.058,-0.064
19,,,0.299,-0.044,-0.044,-0.03,0.009,-0.043,-0.109,-0.042,0.01,0.05,0.19,0.157,0.146,0.04,-0.002,-0.063,-0.072,-0.05,-0.049,-0.036,-0.017
20,,,0.236,-0.022,-0.021,-0.022,-0.001,-0.036,-0.078,-0.033,0.007,0.061,0.157,0.115,0.087,0.017,-0.026,-0.073,-0.079,-0.046,-0.034,-0.005,0.034
21,,,0.222,-0.025,-0.022,-0.019,-0.002,-0.031,-0.065,-0.028,0.01,0.066,0.141,0.101,0.074,0.013,-0.029,-0.072,-0.081,-0.044,-0.03,-0.001,0.042
22,,,0.251,-0.044,-0.037,-0.023,0.015,-0.035,-0.094,-0.029,0.013,0.047,0.157,0.128,0.12,0.022,-0.015,-0.066,-0.065,-0.027,-0.017,-0.023,-0.027
23,,,0.269,-0.045,-0.038,-0.022,0.017,-0.037,-0.109,-0.037,0.002,0.035,0.16,0.139,0.144,0.045,0.001,-0.056,-0.057,-0.023,-0.02,-0.035,-0.059
24,,,0.243,-0.036,-0.03,-0.024,0.001,-0.038,-0.085,-0.036,0.005,0.049,0.158,0.125,0.11,0.031,-0.006,-0.049,-0.063,-0.036,-0.032,-0.027,-0.018
25,,,0.308,-0.04,-0.038,-0.028,0.012,-0.043,-0.117,-0.04,-0.012,-0.02,0.135,0.15,0.191,0.098,0.063,-0.006,-0.039,-0.046,-0.056,-0.077,-0.088
26,,,0.263,-0.086,-0.067,-0.026,0.056,-0.007,-0.088,-0.001,0.015,-0.004,0.141,0.136,0.175,0.025,-0.012,-0.068,-0.069,-0.033,-0.03,-0.037,-0.021
27,,,0.329,-0.043,-0.037,-0.026,0.024,-0.043,-0.14,-0.049,-0.007,0.014,0.173,0.162,0.189,0.06,0.026,-0.043,-0.053,-0.039,-0.043,-0.062,-0.064
28,,,0.241,-0.031,-0.031,-0.025,-0.001,-0.039,-0.084,-0.038,0.003,0.048,0.157,0.12,0.107,0.038,-0.002,-0.046,-0.056,-0.03,-0.027,-0.028,-0.034
29,,,0.331,-0.049,-0.044,-0.028,0.022,-0.046,-0.138,-0.049,-0.001,0.02,0.186,0.173,0.193,0.063,0.017,-0.049,-0.06,-0.04,-0.051,-0.06,-0.06
30,,,0.277,-0.052,-0.043,-0.032,0.017,-0.038,-0.107,-0.031,0.006,0.035,0.17,0.147,0.16,0.043,0.003,-0.054,-0.063,-0.043,-0.043,-0.047,-0.028
31,,,0.282,-0.044,-0.039,-0.025,0.012,-0.043,-0.114,-0.037,0.005,0.04,0.168,0.146,0.151,0.042,0,-0.056,-0.056,-0.023,-0.025,-0.041,-0.061
32,,,0.358,-0.052,-0.052,-0.03,0.019,-0.053,-0.149,-0.057,-0.002,0.02,0.202,0.189,0.209,0.07,0.029,-0.039,-0.053,-0.038,-0.047,-0.074,-0.093
33,,,0.308,-0.043,-0.04,-0.027,0.019,-0.042,-0.128,-0.047,-0.007,0.02,0.176,0.159,0.18,0.06,0.017,-0.041,-0.057,-0.041,-0.043,-0.055,-0.059
34,,,0.282,-0.043,-0.036,-0.028,0.011,-0.041,-0.107,-0.037,-0.007,-0.015,0.137,0.143,0.175,0.089,0.052,-0.01,-0.042,-0.041,-0.054,-0.069,-0.078
35,,,0.269,-0.038,-0.035,-0.029,-0.004,-0.041,-0.093,-0.041,0.004,0.055,0.176,0.143,0.121,0.042,0,-0.053,-0.068,-0.04,-0.044,-0.037,-0.018
36,,,0.214,-0.03,-0.026,-0.017,0.005,-0.03,-0.078,-0.03,0.012,0.052,0.136,0.1,0.09,0.015,-0.022,-0.065,-0.059,-0.02,-0.006,-0.009,-0.019
37,,,0.244,-0.03,-0.026,-0.018,0.005,-0.035,-0.095,-0.044,-0.004,0.031,0.149,0.124,0.127,0.044,0.003,-0.046,-0.057,-0.029,-0.03,-0.032,-0.036
38,,,0.392,-0.062,-0.053,-0.034,0.029,-0.051,-0.159,-0.057,-0.004,0.009,0.191,0.196,0.233,0.077,0.038,-0.026,-0.04,-0.03,-0.044,-0.083,-0.129
39,,,0.382,-0.041,-0.04,-0.036,-0.016,-0.066,-0.119,-0.075,-0.035,-0.001,0.165,0.176,0.205,0.128,0.103,0.046,0.01,-0.025,-0.072,-0.13,-0.177
40,,,0.241,-0.026,-0.026,-0.02,-0.001,-0.035,-0.085,-0.036,0.005,0.057,0.156,0.119,0.096,0.026,-0.018,-0.059,-0.071,-0.041,-0.037,-0.019,0.014
41,,,0.337,-0.061,-0.054,-0.033,0.022,-0.047,-0.138,-0.043,0.006,0.03,0.196,0.186,0.199,0.059,0.021,-0.055,-0.064,-0.049,-0.056,-0.066,-0.053
42,,,0.254,-0.043,-0.039,-0.033,-0.003,-0.042,-0.081,-0.027,0.016,0.056,0.173,0.135,0.122,0.035,-0.012,-0.064,-0.077,-0.05,-0.045,-0.029,0.007
43,,,0.237,-0.036,-0.03,-0.025,0.011,-0.035,-0.093,-0.031,-0.003,-0.01,0.124,0.123,0.144,0.073,0.043,-0.015,-0.046,-0.041,-0.046,-0.053,-0.055
44,,,0.402,-0.048,-0.048,-0.03,0.03,-0.052,-0.169,-0.059,-0.008,-0.003,0.189,0.191,0.233,0.082,0.046,-0.026,-0.04,-0.037,-0.051,-0.086,-0.113
45,,,0.353,-0.052,-0.044,-0.031,0.017,-0.053,-0.145,-0.055,-0.007,0.019,0.197,0.186,0.208,0.068,0.028,-0.038,-0.051,-0.04,-0.048,-0.07,-0.09
46,,,0.27,-0.041,-0.041,-0.024,0.018,-0.04,-0.111,-0.043,0.002,0.034,0.159,0.141,0.149,0.04,0.007,-0.048,-0.047,-0.018,-0.02,-0.044,-0.073
47,,,0.386,-0.058,-0.047,-0.028,0.013,-0.047,-0.111,-0.048,-0.024,-0.039,0.128,0.152,0.21,0.108,0.095,0.047,0.02,-0.017,-0.055,-0.124,-0.176
48,,,0.22,-0.021,-0.025,-0.028,-0.013,-0.048,-0.088,-0.041,-0.003,0.017,0.132,0.123,0.13,0.083,0.044,-0.01,-0.049,-0.046,-0.053,-0.052,-0.051
49,,,0.267,-0.034,-0.036,-0.027,0.008,-0.042,-0.102,-0.041,0.004,0.039,0.165,0.139,0.141,0.044,0.003,-0.052,-0.065,-0.045,-0.044,-0.038,-0.019
50,,,0.254,-0.034,-0.026,-0.017,0.014,-0.031,-0.092,-0.042,-0.026,-0.04,0.101,0.126,0.162,0.1,0.07,0.01,-0.032,-0.036,-0.052,-0.069,-0.084
51,,,0.24,-0.031,-0.029,-0.019,0.011,-0.036,-0.099,-0.041,-0.001,0.029,0.141,0.117,0.127,0.041,0.004,-0.036,-0.043,-0.014,-0.016,-0.037,-0.065
52,,,0.233,-0.031,-0.027,-0.02,0,-0.031,-0.073,-0.027,0.015,0.063,0.151,0.111,0.086,0.013,-0.028,-0.075,-0.082,-0.042,-0.032,-0.003,0.033
53,,,0.221,-0.017,-0.014,-0.008,0.011,-0.015,-0.043,-0.013,0.02,0.065,0.121,0.064,0.03,-0.027,-0.067,-0.1,-0.093,-0.043,-0.005,0.043,0.092
54,,,0.306,-0.043,-0.039,-0.031,0.016,-0.048,-0.127,-0.051,-0.004,0.026,0.179,0.166,0.175,0.059,0.019,-0.04,-0.049,-0.032,-0.041,-0.057,-0.077
55,,,0.206,-0.005,-0.005,-0.01,-0.005,-0.025,-0.041,-0.024,0.011,0.072,0.119,0.066,0.024,-0.012,-0.051,-0.081,-0.087,-0.047,-0.023,0.027,0.095
56,,,0.253,-0.037,-0.036,-0.027,0.003,-0.038,-0.085,-0.031,0.014,0.057,0.168,0.132,0.112,0.025,-0.017,-0.072,-0.078,-0.048,-0.037,-0.02,0.013
57,,,0.291,-0.034,-0.036,-0.026,0.012,-0.044,-0.115,-0.046,-0.004,0.036,0.176,0.148,0.147,0.048,0.007,-0.05,-0.055,-0.035,-0.035,-0.044,-0.048
58,,,0.365,-0.072,-0.063,-0.039,0.022,-0.053,-0.144,-0.048,0.005,0.025,0.203,0.197,0.221,0.075,0.031,-0.035,-0.048,-0.031,-0.043,-0.081,-0.123
59,,,0.21,-0.02,-0.023,-0.022,-0.004,-0.042,-0.086,-0.037,-0.004,0.014,0.124,0.116,0.123,0.067,0.029,-0.019,-0.049,-0.043,-0.043,-0.042,-0.039
60,,,0.312,-0.054,-0.048,-0.032,0.018,-0.045,-0.128,-0.041,0.006,0.036,0.184,0.162,0.18,0.052,0.012,-0.055,-0.06,-0.031,-0.031,-0.055,-0.072
61,,,0.319,-0.06,-0.052,-0.032,0.011,-0.048,-0.123,-0.043,0.004,0.035,0.196,0.178,0.181,0.057,0.016,-0.049,-0.057,-0.033,-0.037,-0.061,-0.082
62,,,0.324,-0.058,-0.053,-0.035,0.006,-0.049,-0.129,-0.041,0.009,0.04,0.195,0.178,0.187,0.061,0.016,-0.05,-0.058,-0.035,-0.039,-0.061,-0.084
63,,,0.289,-0.037,-0.034,-0.023,0.011,-0.045,-0.12,-0.046,-0.004,0.032,0.169,0.148,0.159,0.052,0.01,-0.045,-0.056,-0.033,-0.036,-0.044,-0.057
64,,,0.218,0.006,0.004,-0.012,-0.033,-0.055,-0.084,-0.076,-0.033,0.04,0.134,0.108,0.081,0.087,0.052,0.005,-0.037,-0.04,-0.046,-0.041,-0.059
65,,,0.28,-0.052,-0.042,-0.029,0.014,-0.038,-0.109,-0.044,-0.008,0.017,0.171,0.164,0.169,0.065,0.023,-0.039,-0.056,-0.039,-0.051,-0.058,-0.057
66,,,0.217,0.006,0.003,-0.013,-0.033,-0.055,-0.083,-0.077,-0.032,0.04,0.134,0.108,0.081,0.087,0.053,0.006,-0.038,-0.04,-0.047,-0.042,-0.06
67,,,0.285,-0.056,-0.046,-0.027,0.011,-0.04,-0.109,-0.044,-0.002,0.018,0.176,0.164,0.173,0.065,0.023,-0.04,-0.057,-0.04,-0.053,-0.058,-0.059
68,,,0.282,-0.045,-0.039,-0.029,-0.001,-0.043,-0.095,-0.039,0.009,0.061,0.187,0.149,0.128,0.041,-0.008,-0.059,-0.077,-0.054,-0.052,-0.037,0.003
69,,,0.311,-0.036,-0.031,-0.021,0.011,-0.052,-0.13,-0.057,-0.015,-0.004,0.158,0.161,0.181,0.091,0.051,-0.009,-0.043,-0.047,-0.055,-0.074,-0.081
70,,,0.366,-0.09,-0.079,-0.056,0.001,-0.055,-0.12,-0.027,0.029,0.067,0.246,0.208,0.197,0.062,0.017,-0.057,-0.078,-0.067,-0.07,-0.073,-0.055
71,,,0.58,0.105,0.093,0.051,-0.04,0.035,0.161,0.025,0.006,0.049,-0.133,-0.199,-0.298,-0.105,-0.119,-0.067,-0.066,-0.006,0.051,0.175,0.282
72,,,0.293,-0.04,-0.039,-0.035,-0.003,-0.043,-0.103,-0.038,0.007,0.054,0.19,0.155,0.138,0.042,-0.001,-0.061,-0.073,-0.046,-0.048,-0.036,-0.019
73,,,0.2,-0.008,-0.01,-0.017,-0.011,-0.033,-0.052,-0.027,0.01,0.066,0.127,0.079,0.047,0.006,-0.034,-0.067,-0.073,-0.034,-0.019,0.009,0.041
74,,,0.266,-0.035,-0.033,-0.025,0.012,-0.041,-0.106,-0.037,0.005,0.039,0.16,0.135,0.135,0.036,-0.007,-0.058,-0.057,-0.021,-0.019,-0.033,-0.049
75,,,0.217,0.017,0.026,0.02,-0.002,0.022,0.063,0.02,0.02,0.032,-0.037,-0.083,-0.134,-0.057,-0.073,-0.05,-0.034,0.028,0.055,0.083,0.083
76,,,0.19,-0.021,-0.021,-0.012,0.008,-0.027,-0.075,-0.031,0.007,0.045,0.115,0.086,0.082,0.013,-0.02,-0.057,-0.053,-0.01,-0.004,-0.006,-0.021
77,,,0.212,-0.038,-0.032,-0.026,0.01,-0.028,-0.073,-0.03,-0.011,-0.026,0.104,0.116,0.139,0.088,0.06,-0.001,-0.041,-0.043,-0.052,-0.06,-0.059
78,,,0.298,-0.065,-0.056,-0.036,0.014,-0.04,-0.112,-0.031,0.008,0.032,0.186,0.161,0.169,0.057,0.019,-0.038,-0.053,-0.035,-0.038,-0.059,-0.08
79,,,0.253,-0.065,-0.054,-0.03,0.031,-0.029,-0.1,-0.013,0.028,0.012,0.146,0.137,0.153,0.032,-0.001,-0.053,-0.055,-0.016,-0.017,-0.038,-0.067
80,,,0.295,-0.039,-0.038,-0.037,-0.001,-0.052,-0.116,-0.044,-0.001,0.006,0.155,0.155,0.179,0.095,0.058,-0.004,-0.042,-0.049,-0.066,-0.077,-0.082
81,,,0.28,-0.052,-0.046,-0.037,0.003,-0.046,-0.105,-0.034,0.003,0.01,0.154,0.154,0.175,0.087,0.047,-0.009,-0.047,-0.052,-0.059,-0.072,-0.076
82,,,0.234,0.021,0.009,-0.014,-0.023,-0.051,-0.092,-0.093,-0.063,0.026,0.141,0.121,0.104,0.094,0.052,0.003,-0.041,-0.046,-0.055,-0.047,-0.048
83,,,0.191,-0.02,-0.021,-0.025,-0.009,-0.04,-0.072,-0.029,0.006,0.026,0.119,0.104,0.101,0.057,0.019,-0.024,-0.056,-0.048,-0.045,-0.031,-0.012
84,,,0.263,-0.046,-0.038,-0.024,0.014,-0.036,-0.105,-0.034,0.008,0.036,0.158,0.133,0.135,0.038,0,-0.052,-0.054,-0.017,-0.015,-0.035,-0.066
85,,,0.562,0.143,0.121,0.061,-0.033,0.014,0.091,-0.003,-0.004,0.051,-0.107,-0.177,-0.263,-0.114,-0.137,-0.088,-0.078,-0.008,0.055,0.179,0.299
86,,,0.328,0.077,0.058,0.015,-0.031,-0.01,0.04,-0.002,0.009,0.056,-0.014,-0.063,-0.12,-0.046,-0.077,-0.076,-0.089,-0.043,0.004,0.103,0.208
87,,,0.237,0.034,0.029,0.009,-0.021,-0.01,0.023,0.001,0.018,0.056,0.018,-0.025,-0.074,-0.031,-0.066,-0.069,-0.082,-0.038,-0.002,0.074,0.155
88,,,0.254,0.038,0.04,0.026,-0.009,0.023,0.072,0.006,0.003,0.041,-0.04,-0.091,-0.151,-0.062,-0.086,-0.061,-0.044,0.027,0.061,0.103,0.102
89,,,0.281,0.049,0.042,0.014,-0.034,0.01,0.082,0.009,0.005,0.037,-0.045,-0.086,-0.15,-0.027,-0.051,-0.032,-0.045,-0.012,0.019,0.082,0.131
90,,,0.243,-0.042,-0.036,-0.027,0.003,-0.033,-0.08,-0.028,0.01,0.052,0.163,0.126,0.106,0.032,-0.011,-0.06,-0.07,-0.04,-0.036,-0.023,-0.004
91,,,0.356,-0.092,-0.081,-0.056,0.01,-0.05,-0.121,-0.029,0.024,0.053,0.235,0.206,0.203,0.066,0.019,-0.057,-0.066,-0.048,-0.047,-0.076,-0.095
92,,,0.397,-0.084,-0.071,-0.041,0.023,-0.054,-0.156,-0.049,0.008,0.016,0.222,0.216,0.241,0.086,0.048,-0.034,-0.048,-0.04,-0.06,-0.095,-0.128
93,,,0.469,0.083,0.072,0.03,-0.036,0.013,0.097,0.009,0.012,0.092,-0.044,-0.12,-0.226,-0.107,-0.132,-0.095,-0.079,-0.005,0.045,0.149,0.243
94,,,0.246,-0.026,-0.025,-0.025,0.003,-0.044,-0.1,-0.035,0.002,0.011,0.139,0.132,0.146,0.063,0.023,-0.033,-0.062,-0.054,-0.052,-0.044,-0.019
95,,,0.284,-0.028,-0.031,-0.027,0.011,-0.042,-0.114,-0.047,0,0.037,0.17,0.144,0.139,0.039,0.002,-0.053,-0.061,-0.032,-0.034,-0.036,-0.037
96,,,0.245,-0.042,-0.04,-0.034,-0.005,-0.043,-0.095,-0.031,0.005,0.018,0.15,0.14,0.148,0.081,0.039,-0.02,-0.05,-0.051,-0.058,-0.058,-0.055
97,,,0.206,-0.019,-0.016,-0.014,0.009,-0.029,-0.08,-0.036,0,0.04,0.126,0.099,0.089,0.02,-0.017,-0.059,-0.063,-0.024,-0.016,-0.009,-0.002
98,,,0.241,-0.018,-0.021,-0.022,0.001,-0.044,-0.099,-0.046,-0.003,0.037,0.142,0.12,0.116,0.043,0.009,-0.032,-0.048,-0.024,-0.03,-0.039,-0.042
99,,,0.206,-0.02,-0.022,-0.018,0.004,-0.031,-0.076,-0.031,0.004,0.047,0.13,0.1,0.082,0.017,-0.021,-0.058,-0.057,-0.018,-0.01,-0.008,-0.016
100,,,0.241,-0.051,-0.04,-0.028,0.01,-0.033,-0.09,-0.032,-0.004,0.017,0.151,0.137,0.144,0.058,0.021,-0.03,-0.045,-0.029,-0.037,-0.052,-0.065
101,,,0.188,-0.007,-0.011,-0.017,-0.008,-0.031,-0.055,-0.031,0.004,0.059,0.124,0.08,0.051,0.008,-0.033,-0.064,-0.063,-0.018,-0.004,0.007,0.007
102,,,0.219,-0.017,-0.02,-0.026,-0.004,-0.044,-0.09,-0.038,-0.004,0.01,0.126,0.12,0.129,0.071,0.035,-0.019,-0.053,-0.05,-0.053,-0.044,-0.028
103,,,0.186,0.021,0.025,0.011,-0.011,0.012,0.052,0.011,0.013,0.038,-0.019,-0.064,-0.115,-0.036,-0.057,-0.042,-0.037,0.016,0.04,0.071,0.071
104,,,0.311,0.054,0.045,0.018,-0.02,0.002,0.039,0.004,0.013,0.056,-0.005,-0.055,-0.115,-0.05,-0.086,-0.081,-0.086,-0.036,0.008,0.101,0.196
105,,,0.202,-0.023,-0.019,-0.018,0.002,-0.028,-0.066,-0.03,0.004,0.048,0.131,0.098,0.081,0.02,-0.018,-0.062,-0.071,-0.037,-0.026,-0.008,0.023
106,,,0.425,0.087,0.082,0.021,-0.072,0.011,0.146,-0.01,-0.027,0.084,-0.071,-0.144,-0.261,-0.039,-0.064,-0.017,-0.04,-0.005,0.035,0.119,0.164
107,,,0.217,-0.02,-0.016,-0.014,0.012,-0.027,-0.082,-0.03,0.007,0.048,0.135,0.094,0.086,0.005,-0.028,-0.073,-0.071,-0.031,-0.025,-0.003,0.033
108,,,0.214,-0.018,-0.018,-0.018,0.001,-0.032,-0.08,-0.037,0.001,0.047,0.134,0.1,0.088,0.025,-0.009,-0.048,-0.06,-0.031,-0.032,-0.018,0.004
109,,,0.325,-0.053,-0.036,-0.01,0.051,-0.018,-0.116,-0.034,-0.016,-0.056,0.086,0.116,0.17,0.074,0.054,0.009,-0.001,0.013,-0.009,-0.068,-0.155
110,,,0.228,-0.025,-0.024,-0.023,0.007,-0.036,-0.09,-0.037,0.001,0.041,0.138,0.11,0.106,0.029,-0.006,-0.045,-0.05,-0.015,-0.014,-0.025,-0.045
111,,,0.545,0.097,0.091,0.055,0,0.036,0.102,0.015,0.009,0.068,-0.088,-0.164,-0.261,-0.149,-0.174,-0.128,-0.085,0.013,0.084,0.196,0.284
112,,,0.545,-0.121,-0.102,-0.067,0.022,-0.064,-0.175,-0.031,0.023,-0.013,0.241,0.255,0.302,0.129,0.084,0.006,-0.021,-0.017,-0.057,-0.152,-0.243
113,,,0.329,-0.063,-0.056,-0.037,0.013,-0.049,-0.131,-0.043,0.008,0.038,0.198,0.179,0.19,0.067,0.025,-0.042,-0.057,-0.038,-0.052,-0.068,-0.081
114,,,0.192,-0.019,-0.02,-0.018,-0.003,-0.029,-0.059,-0.03,0.008,0.054,0.129,0.091,0.065,0.013,-0.027,-0.062,-0.063,-0.02,-0.007,0,-0.002
115,,,0.214,-0.008,-0.012,-0.017,0.003,-0.037,-0.082,-0.039,0.001,0.049,0.132,0.101,0.084,0.017,-0.022,-0.063,-0.064,-0.029,-0.021,-0.006,0.012
116,,,0.212,-0.017,-0.014,-0.015,0.006,-0.024,-0.06,-0.023,0.014,0.066,0.128,0.079,0.053,-0.013,-0.052,-0.084,-0.079,-0.024,-0.003,0.019,0.042
117,,,0.449,-0.039,-0.051,-0.044,-0.001,-0.08,-0.185,-0.103,-0.05,0.022,0.243,0.243,0.264,0.146,0.104,0.013,-0.038,-0.064,-0.093,-0.127,-0.16
118,,,0.303,-0.082,-0.06,-0.028,0.04,-0.028,-0.117,-0.014,0.024,0.002,0.159,0.158,0.186,0.043,0.01,-0.055,-0.057,-0.028,-0.031,-0.051,-0.071
119,,,0.218,0.038,0.037,0.011,-0.028,0.002,0.061,0.003,-0.001,0.033,-0.028,-0.063,-0.116,-0.013,-0.035,-0.019,-0.041,-0.013,0.006,0.065,0.102
120,,,0.186,0.002,-0.008,-0.02,-0.014,-0.047,-0.081,-0.045,-0.014,0.005,0.099,0.096,0.105,0.077,0.044,0.003,-0.029,-0.027,-0.035,-0.045,-0.067
121,,,0.273,-0.034,-0.031,-0.024,0.01,-0.042,-0.107,-0.042,-0.016,-0.018,0.119,0.131,0.166,0.097,0.062,0.01,-0.025,-0.031,-0.051,-0.074,-0.1
122,,,0.249,0.02,0.025,0.01,-0.02,0.022,0.092,0.026,0.021,0.042,-0.046,-0.092,-0.157,-0.048,-0.068,-0.037,-0.033,0.022,0.048,0.083,0.088
123,,,0.324,0.022,0.019,0.01,0.009,-0.003,-0.01,-0.007,0.02,0.072,0.072,0.007,-0.046,-0.07,-0.108,-0.122,-0.111,-0.044,0,0.087,0.202
124,,,0.359,-0.066,-0.056,-0.038,0.029,-0.049,-0.145,-0.043,0.009,0.025,0.196,0.189,0.214,0.058,0.022,-0.052,-0.059,-0.036,-0.041,-0.065,-0.092
125,,,0.193,-0.021,-0.025,-0.029,-0.019,-0.044,-0.068,-0.03,0.003,0.03,0.125,0.108,0.102,0.068,0.032,-0.01,-0.049,-0.046,-0.052,-0.043,-0.031
126,,,0.226,-0.023,-0.025,-0.02,0.003,-0.039,-0.087,-0.036,0.004,0.043,0.139,0.11,0.106,0.028,-0.008,-0.055,-0.055,-0.02,-0.011,-0.023,-0.035
127,,,0.207,0.04,0.033,0.005,-0.027,-0.01,0.028,-0.015,0.004,0.07,0.038,-0.021,-0.093,-0.042,-0.075,-0.069,-0.065,-0.008,0.018,0.074,0.114
128,,,0.293,-0.05,-0.047,-0.037,-0.002,-0.048,-0.101,-0.037,0.013,0.057,0.192,0.159,0.143,0.046,-0.003,-0.056,-0.063,-0.033,-0.029,-0.043,-0.061
129,,,0.286,0.026,0.021,0.007,-0.001,-0.007,-0.008,-0.012,0.015,0.076,0.074,0.008,-0.051,-0.061,-0.098,-0.111,-0.102,-0.038,0.004,0.082,0.175
130,,,0.351,-0.087,-0.077,-0.053,0.004,-0.054,-0.124,-0.036,0.019,0.053,0.224,0.202,0.205,0.073,0.028,-0.04,-0.055,-0.031,-0.044,-0.081,-0.127
131,,,0.276,-0.098,-0.077,-0.04,0.03,-0.03,-0.098,0.003,0.038,0.012,0.167,0.159,0.178,0.047,0.012,-0.05,-0.053,-0.027,-0.025,-0.057,-0.092
132,,,0.532,-0.088,-0.076,-0.036,0.04,-0.051,-0.195,-0.067,-0.016,-0.039,0.216,0.234,0.309,0.124,0.085,0.001,-0.012,-0.021,-0.048,-0.138,-0.223
133,,,0.367,0.04,0.047,0.035,-0.021,0.047,0.136,0.028,-0.001,0.037,-0.101,-0.154,-0.231,-0.07,-0.085,-0.038,-0.019,0.046,0.079,0.124,0.103
134,,,0.303,-0.038,-0.039,-0.03,0.007,-0.043,-0.123,-0.06,-0.005,0.047,0.18,0.155,0.164,0.055,0.013,-0.043,-0.051,-0.029,-0.029,-0.054,-0.078
135,,,0.263,-0.034,-0.036,-0.028,0.005,-0.041,-0.098,-0.04,0.007,0.046,0.165,0.135,0.13,0.038,-0.001,-0.054,-0.061,-0.036,-0.031,-0.034,-0.031
136,,,0.193,-0.017,-0.016,-0.015,0.001,-0.024,-0.048,-0.022,0.012,0.056,0.119,0.076,0.048,-0.003,-0.042,-0.074,-0.069,-0.016,0.001,0.015,0.019
137,,,0.243,-0.036,-0.034,-0.028,-0.003,-0.038,-0.078,-0.028,0.015,0.063,0.165,0.124,0.104,0.024,-0.018,-0.069,-0.078,-0.048,-0.038,-0.016,0.016
138,,,0.601,0.091,0.096,0.046,-0.029,0.057,0.19,0.039,0.005,0.036,-0.169,-0.227,-0.327,-0.109,-0.122,-0.055,-0.05,0.007,0.065,0.18,0.274
