SN,BIN,Shape,FAI156,FAI156-P1,FAI156-P2,FAI156-P3,FAI156-P4,FAI156-P5,FAI156-P6,FAI156-P7,FAI156-P8,FAI156-P9,FAI156-P10,FAI156-P11,FAI156-P12,FAI156-P13,FAI156-P14,FAI156-P15,FAI156-P16,FAI156-P17,FAI156-P18,FAI156-P19,FAI156-P20
1547,,,0.109,-0.01,-0.004,-0.001,0.008,-0.005,-0.016,0.004,0.022,0.031,0.046,0.017,-0.002,-0.021,-0.049,-0.063,-0.053,0.001,0.02,0.036,0.036
1548,,,0.242,0.052,0.041,0.011,-0.021,-0.012,0.016,-0.015,0.01,0.081,0.033,-0.03,-0.099,-0.06,-0.093,-0.09,-0.077,-0.01,0.028,0.092,0.143
1549,,,0.196,-0.015,-0.015,-0.018,-0.001,-0.033,-0.069,-0.031,0.004,0.053,0.127,0.092,0.074,0.017,-0.021,-0.06,-0.061,-0.023,-0.01,-0.005,-0.003
1550,,,0.23,0.047,0.037,0.009,-0.021,-0.005,0.035,-0.001,0.007,0.042,-0.004,-0.044,-0.09,-0.027,-0.057,-0.056,-0.07,-0.026,0.006,0.077,0.14
1551,,,0.261,-0.043,-0.039,-0.032,-0.003,-0.038,-0.088,-0.034,0.009,0.047,0.173,0.14,0.123,0.038,-0.005,-0.054,-0.059,-0.026,-0.02,-0.032,-0.054
1552,,,0.146,-0.022,-0.017,-0.017,0.009,-0.021,-0.06,-0.012,0.014,0.013,0.086,0.067,0.066,0.017,-0.007,-0.032,-0.033,0.005,0.006,-0.013,-0.048
1553,,,0.273,-0.039,-0.035,-0.027,0.007,-0.042,-0.107,-0.037,0.007,0.041,0.166,0.142,0.141,0.038,-0.002,-0.059,-0.059,-0.026,-0.023,-0.032,-0.054
1554,,,0.196,-0.032,-0.025,-0.01,0.025,-0.017,-0.076,-0.023,0.001,-0.018,0.075,0.076,0.103,0.043,0.023,-0.012,-0.017,0.013,0.002,-0.038,-0.093
1555,,,0.163,-0.023,-0.021,-0.012,0.013,-0.024,-0.072,-0.019,0.01,0.009,0.091,0.076,0.082,0.023,-0.006,-0.03,-0.03,0.007,0.007,-0.019,-0.064
1556,,,0.297,-0.046,-0.043,-0.038,0.002,-0.045,-0.109,-0.036,0.009,0.048,0.188,0.158,0.154,0.044,-0.001,-0.058,-0.061,-0.036,-0.032,-0.041,-0.057
1557,,,0.234,-0.037,-0.031,-0.019,0.009,-0.027,-0.081,-0.029,0.014,0.052,0.153,0.116,0.103,0.014,-0.026,-0.073,-0.081,-0.042,-0.033,-0.008,0.025
1558,,,0.193,-0.012,-0.013,-0.016,-0.001,-0.033,-0.07,-0.036,0.001,0.051,0.123,0.089,0.068,0.014,-0.018,-0.051,-0.054,-0.013,-0.005,-0.005,-0.018
1559,,,0.295,-0.058,-0.054,-0.042,-0.006,-0.05,-0.099,-0.032,0.019,0.062,0.196,0.162,0.148,0.05,0.003,-0.055,-0.059,-0.032,-0.034,-0.049,-0.07
1560,,,0.227,-0.023,-0.022,-0.02,0.004,-0.036,-0.087,-0.039,0,0.04,0.14,0.113,0.108,0.028,-0.01,-0.053,-0.053,-0.017,-0.01,-0.02,-0.04
1561,,,0.207,-0.02,-0.022,-0.022,-0.009,-0.036,-0.063,-0.031,0.008,0.067,0.142,0.096,0.071,0.015,-0.025,-0.064,-0.065,-0.024,-0.012,-0.004,-0.004
1562,,,0.165,-0.029,-0.023,-0.013,-0.005,-0.013,-0.007,-0.013,-0.018,-0.031,0.032,0.039,0.069,0.068,0.058,0.039,0.012,0.007,-0.022,-0.055,-0.096
1563,,,0.142,-0.011,-0.008,-0.005,0.008,-0.023,-0.064,-0.026,0.006,0.019,0.078,0.061,0.062,0.016,-0.009,-0.034,-0.036,0.001,0.005,-0.006,-0.034
